"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","maritalstatus","gender","yearlyincome","totalchildren","englishoccupation","datefirstpurchase"
11000,26,"AW00011000","Jon","V","Yang","M","M",90000.0,2,"Professional","2020-01-19"
11001,37,"AW00011001","Eugene","L","Huang","S","M",60000.0,3,"Professional","2020-01-15"
11002,31,"AW00011002","Ruben",NULL,"Torres","M","M",60000.0,3,"Professional","2020-01-07"
11003,11,"AW00011003","Christy",NULL,"Zhu","S","F",70000.0,0,"Professional","2019-12-29"
11004,19,"AW00011004","Elizabeth",NULL,"Johnson","S","F",80000.0,5,"Professional","2020-01-23"
11005,22,"AW00011005","Julio",NULL,"Ruiz","S","M",70000.0,0,"Professional","2019-12-30"
11006,8,"AW00011006","Janet","G","Alvarez","S","F",70000.0,0,"Professional","2020-01-24"
11007,40,"AW00011007","Marco",NULL,"Mehta","M","M",60000.0,3,"Professional","2020-01-09"
11008,32,"AW00011008","Rob",NULL,"Verhoff","S","F",60000.0,4,"Professional","2020-01-25"
11009,25,"AW00011009","Shannon","C","Carlson","S","M",70000.0,0,"Professional","2020-01-27"
11010,22,"AW00011010","Jacquelyn","C","Suarez","S","F",70000.0,0,"Professional","2020-01-14"
11011,22,"AW00011011","Curtis",NULL,"Lu","M","M",60000.0,4,"Professional","2019-12-30"
11012,611,"AW00011012","Lauren","M","Walker","M","F",100000.0,2,"Management","2022-03-16"
11013,543,"AW00011013","Ian","M","Jenkins","M","M",100000.0,2,"Management","2022-04-13"
11014,634,"AW00011014","Sydney",NULL,"Bennett","S","F",100000.0,3,"Management","2022-03-23"
11015,301,"AW00011015","Chloe",NULL,"Young","S","F",30000.0,0,"Skilled Manual","2022-01-18"
11016,329,"AW00011016","Wyatt","L","Hill","M","M",30000.0,0,"Skilled Manual","2022-02-09"
11017,39,"AW00011017","Shannon",NULL,"Wang","S","F",20000.0,4,"Skilled Manual","2020-01-12"
11018,32,"AW00011018","Clarence","D","Rai","S","M",30000.0,2,"Clerical","2020-01-17"
11019,52,"AW00011019","Luke","L","Lal","S","M",40000.0,0,"Skilled Manual","2022-02-12"
11020,53,"AW00011020","Jordan","C","King","S","M",40000.0,0,"Skilled Manual","2021-12-29"
11021,536,"AW00011021","Destiny",NULL,"Wilson","S","F",40000.0,0,"Skilled Manual","2022-01-23"
11022,609,"AW00011022","Ethan","G","Zhang","M","M",40000.0,0,"Skilled Manual","2022-01-20"
11023,298,"AW00011023","Seth","M","Edwards","M","M",40000.0,0,"Skilled Manual","2022-02-17"
11024,311,"AW00011024","Russell",NULL,"Xie","M","M",60000.0,0,"Skilled Manual","2022-06-27"
11025,24,"AW00011025","Alejandro",NULL,"Beck","M","M",10000.0,2,"Clerical","2020-01-06"
11026,4,"AW00011026","Harold",NULL,"Sai","S","M",30000.0,2,"Clerical","2020-01-23"
11027,40,"AW00011027","Jessie","R","Zhao","M","M",30000.0,2,"Clerical","2020-01-16"
11028,17,"AW00011028","Jill",NULL,"Jimenez","M","F",30000.0,2,"Clerical","2020-01-26"
11029,32,"AW00011029","Jimmy","L","Moreno","M","M",30000.0,2,"Clerical","2020-01-19"
